"lon","lat","year","temperature_anomaly_annual"
77.5,28.5,1993,0.197725723896252
77.5,28.5,1994,0.233573092336524
77.5,28.5,1995,0.273439756852307
77.5,28.5,1996,-0.000947862049269546
77.5,28.5,1997,-0.744746831835133
77.5,28.5,1998,0.238088937685506
77.5,28.5,1999,0.72295891046524
77.5,28.5,2000,0.312021519154147
77.5,28.5,2001,0.314518776862589
77.5,28.5,2002,1.16492980808428
77.5,28.5,2003,0.29522381802536
77.5,28.5,2004,0.797158375449219
77.5,28.5,2005,0.370893705235667
77.5,28.5,2006,1.01612769655169
77.5,28.5,2007,0.772243678651444
77.5,28.5,2008,0.317285210342029
77.5,28.5,2009,1.19611924600928
77.5,28.5,2010,1.1218148606689
77.5,28.5,2011,0.282173529157594
77.5,28.5,2012,0.395798300214804
77.5,28.5,2013,0.292293119706111
77.5,28.5,2014,0.425930246629127
77.5,28.5,2015,0.711185784045964
77.5,28.5,2016,1.39945191421795
77.5,28.5,2017,1.08418417940401
77.5,28.5,2018,1.02754352251961
77.5,28.5,2019,0.545724436763215
77.5,28.5,2020,0.227176165259112
77.5,28.5,2021,0.610884093850443
77.5,28.5,2022,1.09936033826168
77.5,28.5,2023,0.541018189449016
77.5,28.5,2024,0.96263638733189
77.5,29.5,1920,-0.401917664583548
77.5,29.5,1921,0.560141000503751
77.5,29.5,1922,-0.325646782472526
77.5,29.5,1923,-0.319916125887061
77.5,29.5,1924,-0.332710978437643
77.5,29.5,1925,-0.513897820796869
77.5,29.5,1926,-0.601669938882736
77.5,29.5,1927,-0.640914137620632
77.5,29.5,1928,0.168823328255956
77.5,29.5,1929,-0.0386853087744484
77.5,29.5,1930,-0.505873960750943
77.5,29.5,1931,0.118123389066082
77.5,29.5,1932,0.185123649135721
77.5,29.5,1933,-0.826705614916266
77.5,29.5,1934,-0.404643957036203
77.5,29.5,1935,-0.572644277764102
77.5,29.5,1936,-0.645317543379433
77.5,29.5,1937,-0.637379838914087
77.5,29.5,1938,-0.0958949166617981
77.5,29.5,1939,-0.193006899799794
77.5,29.5,1940,-0.344621255271177
77.5,29.5,1941,0.804631832242012
77.5,29.5,1942,0.0318425253799109
77.5,29.5,1943,-0.01655372450613
77.5,29.5,1944,-0.515970771837104
77.5,29.5,1945,-0.707221866046933
77.5,29.5,1946,0.0840024896680492
77.5,29.5,1947,0.39273553891235
77.5,29.5,1948,-0.0161939677807803
77.5,29.5,1949,0.0689442568649984
77.5,29.5,1950,-0.831690817091563
77.5,29.5,1951,0.0931325643029931
77.5,29.5,1952,0.289987561929096
77.5,29.5,1953,0.689960020157981
77.5,29.5,1954,0.0546461306206168
77.5,29.5,1955,-0.308969481187324
77.5,29.5,1956,-0.142079230174015
77.5,29.5,1957,-0.818594290142598
77.5,29.5,1958,0.12984428328194
77.5,29.5,1959,0.0836194414390277
77.5,29.5,1960,0.117336226311701
77.5,29.5,1961,-0.533271712023918
77.5,29.5,1962,-0.326173850955212
77.5,29.5,1963,0.106535727275561
77.5,29.5,1964,-0.261621555547571
77.5,29.5,1965,-0.121505450937029
77.5,29.5,1966,0.127692252810891
77.5,29.5,1967,-0.261328576209202
77.5,29.5,1968,-0.261810864927502
77.5,29.5,1969,0.491429759215002
77.5,29.5,1970,0.171575726874887
77.5,29.5,1971,-0.344246609937655
77.5,29.5,1972,0.101743995491924
77.5,29.5,1973,0.167660509417318
77.5,29.5,1974,0.228142870942207
77.5,29.5,1975,-0.20642573188429
77.5,29.5,1976,-0.0503066968722422
77.5,29.5,1977,0.0807014643431526
77.5,29.5,1978,-0.215051962496483
77.5,29.5,1979,0.3954296299856
77.5,29.5,1980,0.524901540715838
77.5,29.5,1981,0.216476404401537
77.5,29.5,1982,-0.334167631929868
77.5,29.5,1983,-0.739103654496474
77.5,29.5,1984,0.11275177151779
77.5,29.5,1985,0.459358200226745
77.5,29.5,1986,-0.162554718451957
77.5,29.5,1987,0.965799268794386
77.5,29.5,1988,0.611503160848725
77.5,29.5,1989,-0.295976444976787
77.5,29.5,1990,-0.0908288695224344
77.5,29.5,1991,-0.146041819381796
77.5,29.5,1992,-0.177143427253258
77.5,29.5,1993,0.158460215081091
77.5,29.5,1994,0.314049733180093
77.5,29.5,1995,0.257541054242278
77.5,29.5,1996,-0.0387112818597282
77.5,29.5,1997,-0.735947337787445
77.5,29.5,1998,0.26686330155967
77.5,29.5,1999,0.838019053801282
77.5,29.5,2000,0.272865036471945
77.5,29.5,2001,0.414264120202358
77.5,29.5,2002,1.01399121043617
77.5,29.5,2003,0.282090543965771
77.5,29.5,2004,0.811443012675952
77.5,29.5,2005,0.4023837317955
77.5,29.5,2006,1.07306817141298
77.5,29.5,2007,0.748510228852703
77.5,29.5,2008,0.355981743853804
77.5,29.5,2009,1.18688830708804
77.5,29.5,2010,1.17574729786752
77.5,29.5,2011,0.33172119537445
77.5,29.5,2012,0.504711291625526
77.5,29.5,2013,0.484815658159452
77.5,29.5,2014,0.49800455586551
77.5,29.5,2015,0.719718419076645
77.5,29.5,2016,1.36551466291068
77.5,29.5,2017,1.04261418450369
77.5,29.5,2018,0.934272179293306
77.5,29.5,2019,0.514641293679198
77.5,29.5,2020,0.230754377574869
77.5,29.5,2021,0.676232721830068
77.5,29.5,2022,1.18426597244935
77.5,29.5,2023,0.642994713844502
77.5,29.5,2024,1.08135139820029
